feature,coefficient,abs_coef
delta_inactivity_days,-0.6482146202597588,0.6482146202597588
days_inactive_a,-0.43365823916974483,0.43365823916974483
days_inactive_b,0.4208168559838707,0.4208168559838707
delta_service_points_won_pct_20,0.3951326878895322,0.3951326878895322
delta_elo,0.3777243053748895,0.3777243053748895
elo_a,0.24672295932183957,0.24672295932183957
elo_b,-0.22823248522385767,0.22823248522385767
delta_surface_elo,0.2194266617906435,0.2194266617906435
delta_service_points_won_pct_50,0.17472881797431414,0.17472881797431414
delta_age,-0.1693604751581435,0.1693604751581435
delta_first_serve_won_pct_50,-0.1662037258172321,0.1662037258172321
delta_first_serve_won_pct_20,-0.16407014082228286,0.16407014082228286
delta_height,0.1563721672734868,0.1563721672734868
surface_elo_b,-0.15162078975893994,0.15162078975893994
delta_win_pct_20,-0.14130757001098865,0.14130757001098865
delta_return_points_won_pct_50,0.13398625536566908,0.13398625536566908
surface_elo_a,0.12845940513823384,0.12845940513823384
delta_surface_matches_played,0.12306783941747987,0.12306783941747987
age_a,-0.1098433202809139,0.1098433202809139
delta_surface_inactivity_days,-0.09931243354738316,0.09931243354738316
age_b,0.09213122996993972,0.09213122996993972
surface_matches_played_a,0.08721135521008519,0.08721135521008519
surface_matches_played_b,-0.08353903691276016,0.08353903691276016
delta_second_serve_won_pct_20,-0.08158541492014837,0.08158541492014837
delta_return_points_won_pct_5,0.08127247536230219,0.08127247536230219
delta_first_serve_in_pct_50,-0.08013884502068012,0.08013884502068012
delta_win_pct_50,-0.07188650486107358,0.07188650486107358
delta_first_serve_won_pct_5,0.07133240372223988,0.07133240372223988
surface_days_inactive_a,-0.07035909510717063,0.07035909510717063
delta_break_conversion_pct_5,-0.06424071388522742,0.06424071388522742
surface_days_inactive_b,0.06287984263894335,0.06287984263894335
height_a,-0.059845167935917716,0.059845167935917716
delta_second_serve_won_pct_50,-0.05932647218042958,0.05932647218042958
delta_second_serve_won_pct_5,0.051358728424025744,0.051358728424025744
height_b,0.04945618960466221,0.04945618960466221
delta_rank,-0.0455616475308207,0.0455616475308207
delta_break_conversion_pct_20,0.04446814613065464,0.04446814613065464
delta_win_pct_10,-0.03988773279556588,0.03988773279556588
delta_history_size,-0.0396312790303487,0.0396312790303487
delta_win_pct_5,-0.036467650162385824,0.036467650162385824
delta_break_conversion_pct_50,-0.03301659817236187,0.03301659817236187
delta_first_serve_in_pct_10,-0.029739977601338792,0.029739977601338792
delta_break_conversion_pct_10,0.029232274241678166,0.029232274241678166
rank_points_b,-0.02819931594984577,0.02819931594984577
delta_tiebreak_win_pct_20,-0.02596359076699598,0.02596359076699598
matches_used_10_b,0.024905033689619785,0.024905033689619785
matches_available_b,0.02445129677462267,0.02445129677462267
history_size_b,0.02445129677462102,0.02445129677462102
matches_available_a,-0.023565755289308106,0.023565755289308106
history_size_a,-0.023565755289308106,0.023565755289308106
delta_second_serve_won_pct_10,0.022341114350571286,0.022341114350571286
delta_bp_saved_pct_20,-0.021856325636999033,0.021856325636999033
delta_first_serve_won_pct_10,-0.021229271166269926,0.021229271166269926
delta_rank_points,-0.020196920858416963,0.020196920858416963
delta_tiebreak_win_pct_50,0.019408685723291356,0.019408685723291356
delta_return_points_won_pct_20,0.01890601278311368,0.01890601278311368
matches_used_10_a,-0.018617566921760247,0.018617566921760247
delta_bp_saved_pct_50,0.016856996253764443,0.016856996253764443
rank_points_a,0.01601254761931803,0.01601254761931803
matches_played_a,0.01590289343484295,0.01590289343484295
rank_b,0.014424025926560339,0.014424025926560339
k_factor,-0.013148301163757915,0.013148301163757915
delta_tiebreak_win_pct_5,-0.012581970851007741,0.012581970851007741
matches_used_20_b,-0.012368093185621216,0.012368093185621216
delta_bp_saved_pct_10,-0.012280671913014138,0.012280671913014138
delta_first_serve_in_pct_5,0.009572895344950155,0.009572895344950155
delta_return_points_won_pct_10,0.009245167541694228,0.009245167541694228
delta_matches_played,0.00876007925749511,0.00876007925749511
delta_first_serve_in_pct_20,0.008240872136335006,0.008240872136335006
matches_used_20_a,0.006691150321449221,0.006691150321449221
is_left_handed_a,0.00495129880086396,0.00495129880086396
delta_service_points_won_pct_5,0.004898255403957025,0.004898255403957025
rank_a,0.004503909929604658,0.004503909929604658
delta_service_points_won_pct_10,-0.004453490889229583,0.004453490889229583
matches_played_b,0.003835065020721682,0.003835065020721682
delta_tiebreak_win_pct_10,-0.0034099942555657565,0.0034099942555657565
match_year,0.0032835121428852927,0.0032835121428852927
delta_bp_saved_pct_5,0.0025418903996956735,0.0025418903996956735
matches_used_50_a,-0.0013106212405385818,0.0013106212405385818
is_left_handed_b,0.0010690858920952937,0.0010690858920952937
matches_used_50_b,-0.0003990275745843078,0.0003990275745843078
matches_used_5_a,0.0,0.0
matches_used_5_b,0.0,0.0
