feature,mean_abs_shap
delta_surface_inactivity_days,0.5145756
surface_days_inactive_a,0.4193474
surface_days_inactive_b,0.38572612
delta_elo,0.28887513
delta_inactivity_days,0.27990744
days_inactive_b,0.13699245
delta_rank_points,0.12332509
delta_age,0.11919904
delta_surface_elo,0.117247
days_inactive_a,0.11509447
delta_rank,0.09355235
delta_service_points_won_pct_5,0.05313888
delta_return_points_won_pct_50,0.04418696
delta_win_pct_20,0.038913812
delta_surface_matches_played,0.035432015
age_b,0.03526833
age_a,0.034771144
delta_win_pct_10,0.030513877
delta_return_points_won_pct_5,0.024037795
delta_return_points_won_pct_20,0.023880828
delta_return_points_won_pct_10,0.023034107
surface_matches_played_a,0.022868607
surface_matches_played_b,0.022308346
delta_second_serve_won_pct_10,0.021802062
delta_first_serve_won_pct_10,0.020714669
surface_elo_a,0.017932802
rank_points_b,0.016866812
surface_elo_b,0.016104959
delta_win_pct_5,0.015778031
delta_service_points_won_pct_20,0.015754513
rank_points_a,0.015018686
delta_service_points_won_pct_10,0.014533385
rank_a,0.01401406
height_a,0.013617201
rank_b,0.013473795
delta_second_serve_won_pct_20,0.013220364
delta_tiebreak_win_pct_20,0.012796652
delta_matches_played,0.012460112
k_factor,0.011460463
height_b,0.010576007
delta_height,0.009293412
delta_first_serve_won_pct_50,0.008998277
delta_win_pct_50,0.008536943
delta_service_points_won_pct_50,0.0080582
delta_bp_saved_pct_50,0.0077477028
match_year,0.007684171
delta_break_conversion_pct_20,0.007194299
delta_tiebreak_win_pct_10,0.007005511
delta_first_serve_in_pct_5,0.0068871947
delta_break_conversion_pct_10,0.006828173
elo_a,0.0066319513
history_size_a,0.00654796
delta_second_serve_won_pct_5,0.0065473826
delta_tiebreak_win_pct_5,0.006074554
elo_b,0.005935562
delta_bp_saved_pct_10,0.0058920383
delta_break_conversion_pct_50,0.005826164
delta_second_serve_won_pct_50,0.005501916
delta_bp_saved_pct_20,0.0051076147
delta_first_serve_in_pct_50,0.005096273
delta_first_serve_in_pct_20,0.0047373464
delta_history_size,0.004672719
delta_first_serve_in_pct_10,0.004607571
history_size_b,0.0045012427
matches_played_b,0.0044657676
delta_first_serve_won_pct_20,0.0038797192
delta_break_conversion_pct_5,0.0037983072
matches_played_a,0.0037634063
delta_first_serve_won_pct_5,0.003433582
delta_tiebreak_win_pct_50,0.0032586083
delta_bp_saved_pct_5,0.0031113653
matches_available_a,0.001463304
matches_available_b,0.00065600267
is_left_handed_a,0.0004491664
matches_used_10_a,0.00021705535
is_left_handed_b,0.00018992544
matches_used_20_b,0.00014889555
matches_used_20_a,6.373944e-05
matches_used_10_b,0.0
matches_used_5_a,0.0
matches_used_5_b,0.0
matches_used_50_b,0.0
matches_used_50_a,0.0
