feature,importance
delta_rank_points,0.082982816
delta_win_pct_50,0.03799939
delta_rank,0.03589799
delta_win_pct_20,0.026192617
delta_service_points_won_pct_50,0.024369314
delta_service_points_won_pct_10,0.020521935
delta_service_points_won_pct_20,0.01948041
delta_return_points_won_pct_10,0.017735664
rank_a,0.017634945
matches_used_50_a,0.017589595
delta_first_serve_won_pct_50,0.017534137
delta_return_points_won_pct_50,0.01749309
delta_service_points_won_pct_5,0.017493011
delta_first_serve_won_pct_20,0.017288536
delta_first_serve_won_pct_5,0.01723118
delta_return_points_won_pct_20,0.016950745
rank_points_b,0.01688087
delta_height,0.016706273
delta_history_size,0.016299224
height_b,0.016230453
rank_b,0.016037174
height_a,0.0156462
rank_points_a,0.014982389
delta_second_serve_won_pct_20,0.014682785
delta_break_conversion_pct_20,0.014551783
delta_win_pct_10,0.0143967625
delta_bp_saved_pct_5,0.014396241
delta_second_serve_won_pct_50,0.014315707
match_year,0.014313902
delta_second_serve_won_pct_5,0.014122807
delta_bp_saved_pct_10,0.0139979385
history_size_b,0.013895642
delta_bp_saved_pct_50,0.013895105
delta_first_serve_in_pct_50,0.013894578
matches_used_20_a,0.01385773
delta_break_conversion_pct_50,0.013758643
delta_bp_saved_pct_20,0.013755919
delta_return_points_won_pct_5,0.013692945
delta_tiebreak_win_pct_20,0.013602567
delta_tiebreak_win_pct_50,0.013591404
is_left_handed_b,0.0135854585
delta_break_conversion_pct_5,0.013504702
age_a,0.013441567
age_b,0.01342174
matches_available_a,0.013382046
delta_tiebreak_win_pct_10,0.013263351
delta_first_serve_in_pct_5,0.013262014
delta_age,0.01315028
delta_first_serve_in_pct_10,0.013128042
history_size_a,0.013119992
delta_first_serve_won_pct_10,0.01297954
delta_first_serve_in_pct_20,0.0129459435
matches_used_10_b,0.0127255
delta_tiebreak_win_pct_5,0.012652736
matches_available_b,0.012610913
delta_break_conversion_pct_10,0.0123868305
delta_win_pct_5,0.011692739
delta_second_serve_won_pct_10,0.011576805
is_left_handed_a,0.010683471
matches_used_20_b,0.0005858421
matches_used_10_a,0.0
matches_used_5_a,0.0
matches_used_5_b,0.0
matches_used_50_b,0.0
