match_date,player_a,player_b,target,odds_a,model_probability,market_probability_a,edge,days_inactive_a,days_inactive_b,surface_days_inactive_a,surface_days_inactive_b,delta_inactivity_days,delta_surface_inactivity_days,elo_a,elo_b,delta_elo,surface_elo_a,surface_elo_b,delta_surface_elo
2023-04-17,Emilio Gomez,Albert Ramos-Vinolas,1,5.36,0.9554153680801392,0.17665130568356371,0.7787640623965755,0,7,0,7,-7,-7,1668.3720676757125,1711.4977884946381,-43.12572081892563,1476.1669026752897,1719.9813996977791,-243.81449702248938
2024-05-26,Soonwoo Kwon,Emil Ruusuvuori,1,5.86,0.9319786429405212,0.16285714285714284,0.7691215000833784,0,6,0,6,-6,-6,1747.9330337490073,1841.680831080157,-93.74779733114974,1587.8750843375992,1559.1590801260043,28.716004211594964
2023-09-20,Philip Sekulic,Nuno Borges,1,4.36,0.9685553709665934,0.21582733812949637,0.752728032837097,0,5,0,5,-5,-5,1509.4566281689306,1735.8315235925788,-226.37489542364824,1500.9683806738005,1647.7794223149403,-146.8110416411398
2025-05-19,Justin Engel,Jan-Lennard Struff,1,3.98,0.9846872488657633,0.2390057361376673,0.745681512728096,0,22,0,22,-22,-22,1462.0056885876986,1819.0110806470757,-357.0053920593771,1451.5345897456918,1830.8140567614012,-379.2794670157093
2025-07-14,Govind Nanda,Colton Smith,1,4.09,0.968664268652598,0.2369402985074627,0.7317239701451353,0,28,0,125,-28,-125,1483.2521297050762,1739.9459708222937,-256.6938411172175,1484.0628542378772,1663.7372210731173,-179.6743668352401
2023-04-24,Hugo Grenier,Diego Schwartzman,1,3.76,0.9748247067133585,0.2524850894632207,0.7223396172501378,0,7,0,7,-7,-7,1683.368594041098,1821.0259742442963,-137.65738020319827,1533.251014248105,1828.3583575768312,-295.1073433287261
2023-07-17,Leo Borg,Elias Ymer,1,6.96,0.8583172559738159,0.13647642679900743,0.7218408291748085,0,1,0,1,-1,-1,1375.2569983808578,1694.1654079025368,-318.908409521679,1397.966203520563,1663.42215813138,-265.4559546108169
2024-09-18,Yi Zhou,Chun-Hsin Tseng,1,3.96,0.9599593679110209,0.23846153846153847,0.7214978294494824,0,4,0,4,-4,-4,1470.1353212204447,1690.0336916707763,-219.89837045033164,1473.1031933478407,1575.409044192482,-102.30585084464133
2023-01-16,Alex Molcan,Stan Wawrinka,1,3.7,0.9756263494491577,0.2570281124497992,0.7185982369993585,0,14,0,14,-14,-14,1822.2473132685284,1886.0808792453186,-63.83356597679017,1613.0212107320892,1867.7285415332124,-254.70733080112313
2024-07-15,Benoit Paire,Marcos Giron,0,5.22,0.8986523548762003,0.18053375196232338,0.718118602913877,0,14,0,14,-14,-14,1624.2685364860574,1820.957733050443,-196.6891965643856,1566.2749252928556,1535.1596171379738,31.11530815488186
2024-08-26,Adrian Mannarino,Borna Coric,1,3.49,0.9868157903353373,0.2729166666666667,0.7138991236686706,0,8,0,8,-8,-8,1708.3522256232136,1779.3973282247243,-71.04510260151073,1733.7484797821396,1779.2320957479635,-45.4836159658239
2025-06-30,Pedro Martinez,George Loffhagen,1,3.5,0.9840916991233826,0.27083333333333337,0.7132583657900492,0,7,0,7,-7,-7,1762.4248046083287,1524.9441519373204,237.48065267100833,1452.0005542040783,1426.0918357192731,25.90871848480515
2023-03-20,Dusan Lajovic,Andy Murray,1,4.11,0.941923459370931,0.2303370786516854,0.7115863807192456,0,14,0,14,-14,-14,1819.8986672141887,1968.0828000570486,-148.18413284285998,1661.4908387086614,1863.448155963038,-201.95731725437668
2025-03-31,Otto Virtanen,Daniel Altmaier,1,3.63,0.9667419989903768,0.2606924643584521,0.7060495346319247,0,14,0,183,-14,-183,1706.9187012457567,1775.2110479802814,-68.2923467345247,1472.387036480874,1689.5386225122286,-217.15158603135455
2025-10-13,Leo Borg,Sebastian Ofner,1,4.37,0.9205901622772217,0.21684587813620068,0.703744284141021,0,12,0,12,-12,-12,1410.8803385276874,1747.1535157340088,-336.2731772063214,1438.655674785612,1639.9350305602625,-201.2793557746504
2023-08-28,Juan Pablo Varillas,Miomir Kecmanovic,1,4.59,0.9048840403556824,0.2072538860103627,0.6976301543453196,0,14,0,14,-14,-14,1763.0080954768546,1788.6503133014066,-25.642217824552063,1436.7281457092813,1793.2870731280273,-356.55892741874595
2024-04-22,Max Purcell,Marcos Giron,1,3.55,0.9631495277086893,0.26652892561983477,0.6966206020888546,0,14,0,14,-14,-14,1708.6712546617125,1822.9412715841295,-114.27001692241697,1503.4814497150471,1642.5730165165837,-139.0915668015366
2024-12-29,Alexandre Muller,Kei Nishikori,1,3.36,0.9741576512654623,0.28205128205128205,0.6921063692141802,0,49,0,49,-49,-49,1808.788963037518,1906.383460104238,-97.59449706672012,1656.5468977696557,1882.2445656224672,-225.6976678528115
2023-01-16,Jeremy Chardy,Daniel Elahi Galan,1,3.19,0.9887639284133911,0.29890109890109895,0.6898628295122922,0,14,0,14,-14,-14,1886.2571773384027,1810.9366787758456,75.32049856255708,1838.7892066485472,1644.72023212958,194.06897451896725
2025-01-13,James McCabe,Martin Landaluce,1,3.56,0.9571225245793661,0.2674897119341564,0.6896328126452097,0,14,0,14,-14,-14,1513.0007950347913,1742.1391258862975,-229.13833085150623,1500.9103086463729,1667.812346145232,-166.90203749885904
2024-07-15,Duje Ajdukovic,Thiago Monteiro,1,3.56,0.9554153482119242,0.26597938144329897,0.6894359667686252,0,1,0,1,-1,-1,1648.0836435546926,1821.0916244142895,-173.00798085959696,1591.409800065931,1770.8124039919217,-179.40260392599066
2024-01-29,Flavio Cobolli,Gael Monfils,1,3.29,0.9740929007530212,0.28633405639913234,0.6877588443538889,0,14,0,14,-14,-14,1790.7107523658474,1926.8401126192916,-136.12936025344425,1647.686268639947,1851.2141056984221,-203.52783705847514
2024-07-15,Quentin Halys,Matteo Berrettini,0,3.78,0.9361966252326965,0.25000000000000006,0.6861966252326965,0,14,0,98,-14,-98,1772.8338346215899,2000.948647314699,-228.11481269310912,1634.4387370836932,1920.0192922461047,-285.58055516241143
2025-04-21,Benjamin Bonzi,Marin Cilic,1,3.45,0.9625511566797892,0.2767295597484277,0.6858215969313615,0,14,0,14,-14,-14,1811.6476043145835,1892.3672781763858,-80.71967386180222,1601.5860812981687,1874.4666700124185,-272.8805887142498
2023-03-20,Emilio Nava,John Isner,1,3.98,0.9214389125506083,0.23754789272030646,0.6838910198303019,0,14,0,14,-14,-14,1592.158112513622,1891.012235253303,-298.8541227396811,1543.3242700767744,1783.2905577517386,-239.96628767496418
2025-07-27,Tristan Schoolkate,Joao Fonseca,1,3.97,0.9208703835805258,0.2380038387715931,0.6828665448089326,0,27,0,132,-27,-132,1728.1166089900396,1918.9305422820682,-190.81393329202865,1676.3734232862598,1824.712805444171,-148.33938215791113
2025-07-27,Juan Pablo Ficovich,Jacob Fearnley,1,4.14,0.9103306531906128,0.22761194029850748,0.6827187128921053,0,27,0,132,-27,-132,1646.4380351153115,1860.0210850946467,-213.5830499793351,1527.5459465045335,1760.6738692425256,-233.1279227379921
2025-08-24,Daniel Altmaier,Hamad Medjedovic,1,3.51,0.9465644359588623,0.26875,0.6778144359588623,0,6,0,6,-6,-6,1789.235079814993,1869.6378410184252,-80.40276120343219,1670.4006762282363,1812.823963377233,-142.42328714899668
2025-03-17,Coleman Wong,Daniel Altmaier,1,3.19,0.9731627702713013,0.2958057395143488,0.6773570307569525,0,6,0,6,-6,-6,1637.897328644658,1801.0616644760403,-163.16433583138223,1609.6120502683493,1712.7347865356387,-103.12273626728938
2023-10-30,Daniel Altmaier,Arthur Fils,1,3.39,0.9554153680801392,0.2802547770700637,0.6751605910100755,0,7,0,7,-7,-7,1797.00487191481,1839.1706482717227,-42.1657763569126,1637.7222590580086,1719.4274784191168,-81.70521936110822
2025-08-24,Jordan Thompson,Corentin Moutet,1,3.26,0.9636906981468201,0.289760348583878,0.6739303495629421,0,17,0,17,-17,-17,1877.7329062602273,1903.1408310604436,-25.40792480021628,1831.5672470099335,1761.8440367752016,69.72321023473182
2023-07-17,Federico Coria,Sebastian Baez,1,3.21,0.966947336991628,0.2945054945054945,0.6724418424861336,0,14,0,49,-14,-49,1699.7144214073887,1769.6548760697333,-69.94045466234456,1715.7843850920863,1786.3675426071823,-70.58315751509599
2025-07-14,Alex Hernandez,Taro Daniel,1,3.2,0.9663057128588358,0.29515418502202645,0.6711515278368094,0,28,0,140,-28,-140,1440.3362307088469,1634.8979603582006,-194.56172964935377,1449.0704795337103,1659.1458160091258,-210.0753364754155
2023-10-23,Tomas Martin Etcheverry,Sebastian Korda,1,4.43,0.8838576873143514,0.21314387211367675,0.6707138152006746,0,21,0,21,-21,-21,1827.9034134615829,1979.5264746234116,-151.62306116182867,1555.2755918321589,1928.9771836653704,-373.7015918332115
2024-07-01,Arthur Cazaux,Zizou Bergs,1,2.93,0.9953600565592448,0.3248847926267281,0.6704752639325167,0,21,0,21,-21,-21,1795.4365635957874,1810.2663570541495,-14.829793458362019,1535.836308533046,1579.633219858677,-43.79691132563107
2025-03-03,Mariano Navone,Learner Tien,1,3.3,0.955415407816569,0.28725701943844495,0.668158388378124,0,7,0,7,-7,-7,1767.5215428931917,1835.5240863644146,-68.0025434712229,1529.7051091415722,1788.6476033028782,-258.94249416130606
2023-05-08,Arthur Rinderknech,Flavio Cobolli,1,2.93,0.9914454023043314,0.3233256351039261,0.6681197672004053,0,1,0,1,-1,-1,1788.7549453979564,1656.965973930892,131.78897146706436,1647.6612438331224,1625.1349144382793,22.52632939484306
2024-05-26,Richard Gasquet,Borna Coric,1,3.1,0.972639818986257,0.30648769574944074,0.6661521232368162,0,20,0,20,-20,-20,1714.2895723757642,1841.9749137648716,-127.6853413891074,1626.832108207261,1790.7774691342886,-163.94536092702765
2025-06-30,Kamil Majchrzak,Matteo Berrettini,1,6.14,0.8202623526255289,0.15426997245179064,0.6659923801737383,0,56,0,364,-56,-364,1822.766677663366,1994.200391990993,-171.43371432762706,1525.9908057353123,1755.5523554825766,-229.56154974726428
2025-07-27,Tristan Boyer,Aleksandar Kovacevic,1,3.26,0.9554153879483541,0.289760348583878,0.6656550393644761,0,6,0,6,-6,-6,1621.2090928062355,1723.6878827231376,-102.47878991690209,1591.9497730372202,1753.7942279620484,-161.84445492482814
2023-01-16,Denis Kudla,Roman Safiullin,1,3.19,0.9642582933108012,0.29890109890109895,0.6653571944097022,0,14,0,14,-14,-14,1717.3858353166502,1805.614986723332,-88.22915140668192,1641.9035549144248,1769.7941724088505,-127.89061749442567
2023-09-27,Tomas Martin Etcheverry,Lloyd Harris,1,3.02,0.9788844188054403,0.31363636363636366,0.6652480551690767,0,7,0,7,-7,-7,1847.0864450164606,1758.7673372998465,88.3191077166141,1548.027533268958,1726.4533180765065,-178.42578480754855
2023-10-16,Alexander Shevchenko,Benjamin Bonzi,1,2.97,0.9820057153701782,0.31724137931034474,0.6647643360598334,0,8,0,8,-8,-8,1657.3815727807535,1752.7230170369335,-95.34144425618001,1530.6909683880071,1722.1478444285735,-191.45687604056639
2025-06-30,Luciano Darderi,Roman Safiullin,1,2.94,0.9850900769233704,0.32101616628175517,0.6640739106416151,0,7,0,7,-7,-7,1774.217296957268,1799.2719275841616,-25.05463062689364,1471.5640181687895,1538.7142303339997,-67.15021216521018
2023-05-08,Yibing Wu,Richard Gasquet,1,2.98,0.9812040527661642,0.3180778032036613,0.6631262495625029,0,14,0,14,-14,-14,1820.6531988353747,1826.9279006531424,-6.274701817767664,1506.1794914244845,1701.3161268966057,-195.13663547212127
2024-07-15,Mariano Navone,Rafael Nadal,0,3.06,0.9716195662816366,0.309255079006772,0.6623644872748646,0,50,0,50,-50,-50,1831.8320280791036,2088.410979215103,-256.57895113599943,1834.5479475262891,2180.1036222722355,-345.55567474594636
2025-03-17,Nick Kyrgios,Mackenzie McDonald,1,2.84,0.992883563041687,0.33176470588235296,0.661118857159334,0,14,0,14,-14,-14,2032.8894929168869,1792.1223714298465,240.7671214870404,1916.7664431007777,1771.8193049442232,144.9471381565545
2023-04-03,Jurij Rodionov,Albert Ramos-Vinolas,1,3.11,0.9652141332626343,0.3042505592841164,0.6609635739785179,0,14,0,35,-14,-35,1748.0835901389212,1730.3579504386928,17.725639700228385,1589.2335522137837,1748.2696798872266,-159.03612767344293
2025-07-21,Yoshihito Nishioka,Jenson Brooksby,1,3.22,0.9538721442222595,0.29385964912280704,0.6600124950994525,0,21,0,126,-21,-126,1749.8170358844427,1904.8400516802549,-155.02301579581217,1740.420912768125,1816.326470386771,-75.90555761864607
2023-10-30,Francisco Cerundolo,Gael Monfils,1,2.88,0.9868157903353373,0.32867132867132864,0.6581444616640086,0,7,0,7,-7,-7,1924.7372931967764,1978.9178827342078,-54.18058953743139,1752.451327203169,1920.1249592613972,-167.67363205822812
2024-09-18,Federico Agustin Gomez,Alexandre Muller,1,3.19,0.9530705014864603,0.2958057395143488,0.6572647619721115,0,23,0,23,-23,-23,1636.7779162870097,1791.143052765778,-154.36513647876836,1511.7910722214515,1623.7636486546169,-111.97257643316539
2025-03-17,Rinky Hijikata,Hamad Medjedovic,1,2.95,0.9756263295809428,0.32027649769585254,0.6553498318850902,0,28,0,28,-28,-28,1770.892819651222,1854.3616831740555,-83.46886352283354,1718.4167987186904,1784.4653931137275,-66.04859439503707
2025-07-14,Ignacio Buse,Laslo Djere,1,3.23,0.9467363754908243,0.2916666666666667,0.6550697088241577,0,14,0,49,-14,-49,1691.2018085013417,1815.3958682115508,-124.1940597102091,1693.8417186359577,1756.0724853662307,-62.23076673027299
2025-08-24,Tristan Schoolkate,Lorenzo Sonego,1,3.07,0.9618244568506876,0.3069977426636569,0.6548267141870308,0,6,0,6,-6,-6,1728.3272695077294,1838.307344148153,-109.98007464042371,1664.2421516862485,1764.4153584612982,-100.17320677504972
2023-08-28,Juan Manuel Cerundolo,Ilya Ivashka,1,3.03,0.9683843652407328,0.31447963800904977,0.653904727231683,0,7,0,7,-7,-7,1688.2078063545762,1797.17857839391,-108.97077203933372,1560.3806957104541,1781.3588189990317,-220.97812328857754
2025-03-17,Federico Cina,Francisco Comesana,1,2.98,0.9701977173487345,0.3165137614678899,0.6536839558808446,0,21,0,21,-21,-21,1525.2156630900972,1747.7293073197682,-222.51364422967094,1533.6646192524818,1565.1317778166235,-31.467158564141755
2024-04-01,Max Purcell,Alex Michelsen,1,3.0,0.966677169005076,0.3135011441647597,0.6531760248403163,0,14,0,282,-14,-282,1700.3236610764793,1777.7661466253655,-77.44248554888622,1501.4843788661574,1497.602482933785,3.8818959323723448
2024-04-08,Miomir Kecmanovic,Matteo Berrettini,1,3.05,0.9617494940757751,0.3099547511312218,0.6517947429445534,0,7,0,7,-7,-7,1785.8427310190636,2031.4908012829815,-245.64807026391782,1663.3633193566143,1957.601876558023,-294.23855720140864
2023-06-19,Ryan Peniston,Ugo Humbert,1,4.18,0.8768364389737447,0.22592592592592592,0.6509105130478188,0,7,0,7,-7,-7,1616.3260298701532,1891.4983384654365,-275.1723085952833,1523.80239567413,1583.9052421611034,-60.102846486973476
2023-05-29,Guido Pella,Quentin Halys,1,3.04,0.9617662827173868,0.31221719457013575,0.6495490881472511,0,22,0,22,-22,-22,1739.5906495654026,1819.5490724009974,-79.95842283559477,1656.917662061679,1670.8679574564421,-13.950295394763089
2025-09-17,Zhizhen Zhang,Yunchaokete Bu,1,3.06,0.9571225643157959,0.3076923076923077,0.6494302566234882,0,4,0,4,-4,-4,1752.5983502893907,1757.1961874374188,-4.59783714802802,1595.6088571601167,1715.6115178578261,-120.00266069770942
2024-03-18,Martin Damm,Zhizhen Zhang,1,3.46,0.9214388728141785,0.273109243697479,0.6483296291166994,0,14,0,14,-14,-14,1616.553122025672,1812.3748046897772,-195.82168266410508,1590.9652296241381,1651.5993002195,-60.63407059536189
2025-03-31,Kamil Majchrzak,Jaume Munar,1,3.02,0.9603662689526876,0.31207289293849666,0.6482933760141909,0,14,0,42,-14,-42,1816.643092682225,1845.2233925026355,-28.580299820410573,1751.3260067606834,1753.1179834516438,-1.7919766909603823
2024-07-22,Daniel Elahi Galan,Hamad Medjedovic,1,2.85,0.9782892862955729,0.33098591549295775,0.6473033708026151,0,7,0,7,-7,-7,1678.6504126785628,1763.2350663477562,-84.58465366919336,1649.7552071744883,1625.152629362386,24.602577812102254
2023-01-16,Juncheng Shang,Oscar Otte,1,2.79,0.986611564954122,0.3404255319148936,0.6461860330392284,0,14,0,14,-14,-14,1608.3674706947527,1789.8352166520385,-181.46774595728584,1590.7057648342754,1648.1413144271771,-57.43554959290168
2025-01-13,Hady Habib,Yunchaokete Bu,1,3.16,0.9467363357543945,0.30088495575221236,0.6458513800021821,0,7,0,7,-7,-7,1631.8107231006309,1780.7741115431454,-148.96338844251454,1602.9473159932027,1729.3874359663625,-126.44011997315988
2023-04-24,Roman Safiullin,Nicolas Jarry,1,3.15,0.9467363357543945,0.30155210643015523,0.6451842293242394,0,7,0,7,-7,-7,1750.8604171817026,1840.947932293951,-90.08751511224841,1505.6743317013334,1823.0604390758351,-317.38610737450176
2025-05-26,Juan Manuel Cerundolo,Hamad Medjedovic,0,2.79,0.9866353869438171,0.34198113207547165,0.6446542548683455,0,21,0,21,-21,-21,1723.4468424256133,1804.9207791977933,-81.47393677217997,1671.4315132514398,1591.9312309487102,79.5002823027296
2024-09-26,Yunchaokete Bu,Juncheng Shang,1,3.1,0.9481363495190939,0.30493273542600896,0.6432036140930849,0,8,0,8,-8,-8,1796.4072621045045,1907.1655608530982,-110.75829874859369,1751.6574974909975,1816.509457495299,-64.85196000430165
2023-10-23,Alexander Shevchenko,Stan Wawrinka,1,2.89,0.9693701465924581,0.3263403263403263,0.6430298202521318,0,7,0,7,-7,-7,1691.1992875379774,1919.0935508170037,-227.8942632790263,1571.13781006092,1846.7843473346827,-275.64653727376276
2023-08-28,Zhizhen Zhang,J.J. Wolf,1,3.13,0.9467363556226095,0.30444444444444446,0.6422919111781651,0,14,0,14,-14,-14,1794.1535189693504,1839.7869336391323,-45.633414669781814,1534.4586066030606,1800.023970868067,-265.56536426500634
2025-01-13,Mitchell Krueger,Rinky Hijikata,1,2.94,0.9640159209569296,0.32413793103448274,0.6398779899224468,0,7,0,7,-7,-7,1585.2076482124464,1829.9027116509492,-244.69506343850276,1531.081311432328,1787.1741714645595,-256.09286003223156
2023-08-28,Laslo Djere,Brandon Nakashima,1,2.93,0.9634566505750021,0.3248847926267281,0.638571857948274,0,7,0,7,-7,-7,1924.7139642169095,1811.4910660396806,113.2228981772289,1667.9607935826223,1777.3139373464685,-109.35314376384622
2025-08-07,Francisco Comesana,Jaume Munar,1,2.83,0.9719079931577047,0.3341176470588235,0.6377903460988812,0,11,0,11,-11,-11,1816.0683627119363,1873.2726647169916,-57.2043020050553,1598.5893201779666,1666.783918166136,-68.19459798816933
