tennis_data_tournament,tml_tournament,overlap,td_matches
Australian Open,Australian Open,2865,3287
French Open,Roland Garros,2801,3285
US Open,US Open,2742,3157
Wimbledon,Wimbledon,2724,3159
BNP Paribas Open,Indian Wells Masters,1393,1605
Western & Southern Financial Group Masters,Cincinnati Masters,1146,1335
Monte Carlo Masters,Monte Carlo Masters,1130,1418
Internazionali BNL d'Italia,Rome Masters,1073,1251
Sony Ericsson Open,Miami Masters,1046,1228
Mutua Madrid Open,Madrid Masters,793,920
BNP Paribas Masters,Paris Masters,737,846
Abierto Mexicano,Acapulco,703,804
ABN AMRO World Tennis Tournament,Rotterdam,687,801
Shanghai Masters,Shanghai Masters,666,877
Rogers Masters,Canada Masters,657,769
BMW Open,Munich,627,725
Hall of Fame Championships,Newport,626,673
Qatar Exxon Mobil Open,Doha,619,715
Mercedes Cup,Stuttgart,591,682
U.S. Men's Clay Court Championships,Houston,570,629
Dubai Tennis Championships,Dubai,564,662
Citi Open,Washington,562,622
Stockholm Open,Stockholm,545,603
St. Petersburg Open,St. Petersburg,537,593
Open 13,Marseille,534,637
Open de Moselle,Metz,519,618
Pacific Life Open,Indian Wells Masters,519,601
Miami Open,Miami Masters,507,566
Generali Open,Kitzbuhel,501,603
Kremlin Cup,Moscow,499,567
Winston-Salem Open at Wake Forest University,Winston-Salem,493,648
Gerry Weber Open,Halle,483,544
Swiss Indoors,Basel,477,556
China Open,Beijing,468,572
Legg Mason Classic,Washington,453,501
Hamburg TMS,Hamburg Masters,423,488
NASDAQ-100 Open,Miami Masters,423,475
Croatia Open,Umag,409,460
AEGON Championships,Queen's Club,384,453
Grand Prix Hassan II,Casablanca,383,690
Estoril Open,Estoril,381,441
Open Sud de France,Montpellier,367,432
Heineken Open,Auckland,366,530
Canadian Open,Canada Masters,365,401
Brisbane International,Brisbane,353,405
Open Banco Sabadell,Barcelona,342,398
Delray Beach Open,Delray Beach,341,379
Open Seat Godo,Barcelona,329,385
Rakuten Japan Open Tennis Championships,Tokyo,329,371
Stella Artois,Queen's Club,328,385
BNP Paribas,Paris Masters,326,376
Chennai Open,Chennai,299,345
International Championships,Delray Beach,293,341
Madrid Masters,Madrid Masters,277,329
Thailand Open,Bangkok,275,317
PBZ Zagreb Indoors,Zagreb,274,290
Geneva Open,Geneva,272,288
RCA Championships,Indianapolis,271,298
Argentina Open,Buenos Aires,268,324
Open Romania,Bucharest,261,302
Pilot Pen Tennis,New Haven,259,282
Brasil Open,Costa do Sauipe,255,552
Japan Open,Tokyo,254,298
Erste Bank Open,Vienna,245,294
Allianz Suisse Open,Gstaad,245,271
Grand Prix de Lyon,Lyon,239,279
Suisse Open Gstaad,Gstaad,237,295
SAP Open,San Jose,236,270
SkiStar Swedish Open,Bastad,232,266
Barcelona Open,Barcelona,225,248
BB&T Atlanta Open,Atlanta,219,241
Regions Morgan Keegan Championships,Memphis,216,248
European Open,Antwerp,208,382
Queen's Club Championships,Queen's Club,202,217
Idea Prokom Open,Sopot,198,217
Ordina Open,'s-Hertogenbosch,194,248
ASB Classic,Auckland,190,243
Halle Open,Halle,187,213
AEGON International,Eastbourne,178,200
Telecom Italia Masters Roma,Rome Masters,176,189
Eastbourne International,Eastbourne,168,185
Campionati Internazionali Di Sicilia,Palermo,166,186
Valencia Open 500,Valencia,165,213
Open de Nice Côte d’Azur,Nice,165,189
Rio Open,Rio De Janeiro,164,368
Chengdu Open,Chengdu,162,189
Lyon Open,Lyon,160,188
Mallorca Championships,Mallorca,155,162
BA-CA Tennis Trophy,Vienna,152,182
Rosmalen Grass Court Championships,'s-Hertogenbosch,150,159
Vienna Open,Vienna,149,154
German Open Tennis Championships,Hamburg,145,172
Internationaler Raiffeisen Grand Prix,St. Poelten,145,155
Swedish Open,Bastad,145,155
Nottingham Open,Nottingham,143,155
Nordea Open,Bastad,142,162
Bellsouth Open,Vina del Mar,142,155
Masters Cup,Tour Finals,141,375
Chile Open,Santiago,136,189
German Tennis Championships,Hamburg,136,153
Mutua Madrileña Madrid Open,Madrid Masters,135,165
Davidoff Swiss Indoors,Basel,134,155
Apia International,Sydney,133,157
TATA Open,Chennai,133,155
Dallas Open,Dallas,133,143
Open Banco Sabadell ,Barcelona,133,141
Serbia Open,Belgrade,132,162
Mercedes-Benz Cup,Los Angeles,131,153
Medibank International,Sydney,127,143
BRD Nastase Tiriac Trophy,Bucharest,127,135
Malaysian Open,Kuala Lumpur,123,135
Los Cabos Open,Los Cabos,123,134
Kroger St. Jude,Memphis,119,140
AAPT Championships,Adelaide,118,124
Copa Telmex,Buenos Aires,116,155
CA Tennis Trophy,Vienna,116,124
Sofia Open,Sofia,115,135
Rome TMS,Rome Masters,115,126
Shenzhen Open,Shenzhen,115,126
Toronto TMS,Canada Masters,114,126
Franklin Templeton Tennis Classic,Scottsdale,111,124
Montreal TMS,Canada Masters,110,126
Dubai Championships,Dubai,109,124
Cincinnati TMS,Cincinnati Masters,108,126
Cordoba Open,Cordoba,107,162
Open de Tenis Comunidad Valenciana,Valencia,107,124
Istanbul Open,Istanbul,106,107
Sydney International,Sydney,105,116
Antalya Open,Antalya,105,112
Maharashtra Open,Pune,102,108
Millennium Estoril Open,Estoril,101,108
Movistar Open,Vina del Mar,100,182
adidas International,Sydney,100,124
Ecuador Open,Quito,100,108
Topshelf Open,'s-Hertogenbosch,97,114
Bet-At-Home Cup,Kitzbuhel,97,107
Copa Claro,Buenos Aires,95,122
Austrian Open,Kitzbuhel,91,109
Copenhagen Open,Copenhagen,89,93
TD Waterhouse Cup,Long Island,87,109
Japan Open Tennis Championships,Tokyo,87,91
Hypo Group Tennis International,Poertschach,86,93
Channel Open,Las Vegas,85,124
Studena Croatia Open,Umag,85,112
Ericsson Open,Miami Masters,84,95
Priority Telecom Dutch Open,Amersfoort,84,93
Catella Swedish Open,Bastad,84,85
AEGON Open,Nottingham,83,94
Unicef Open,'s-Hertogenbosch,83,89
Copa AT&T,Buenos Aires,82,93
Stuttgart Open,Stuttgart,81,106
